username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mouradk4;2017-05-29 17:53;0;0;"Memorial Day Ceremony Held at Sprint Pavilion http://ift.tt/2qzRdGc";;;;"869310749625253890";https://twitter.com/mouradk4/status/869310749625253890
cvillenews;2017-05-29 17:20;0;0;"Memorial Day Ceremony Held at Sprint Pavilion http://dlvr.it/PGfv46 pic.twitter.com/ezxWnmSjmi";;;;"869302357305114624";https://twitter.com/cvillenews/status/869302357305114624
MadddieYoung;2017-05-28 18:44;0;1;"just a lil throwback @ flumemusic @Sprint Pavilion https://www.instagram.com/p/BUmsrsAD53c/";;@ @Sprint;;"868961085369577473";https://twitter.com/MadddieYoung/status/868961085369577473
realbriangerard;2017-05-26 22:04;0;0;"Ladies and Gentlemen,your next # americanidol. And my new # client. @Sprint Pavilion https://www.instagram.com/p/BUlA98Sjmfl/";;@Sprint;# #;"868286766096289794";https://twitter.com/realbriangerard/status/868286766096289794
realbriangerard;2017-05-26 18:47;0;0;"Another great # concert night in # downtown # charlottesvilleva. And we # walked @Sprint Pavilion https://www.instagram.com/p/BUkqbgCDk9p/";;@Sprint;# # # #;"868237203939446784";https://twitter.com/realbriangerard/status/868237203939446784
SethBatton;2017-05-26 18:20;0;0;"Cuz it's Friday — attending Fridays After Five - In Full at Sprint Pavilion http://fb.me/vUi38iP0";;;;"868230434110545920";https://twitter.com/SethBatton/status/868230434110545920
realbriangerard;2017-05-26 18:14;0;0;"Tight, tight high school aged and. # sogood velvetpeoplecollective # muchlove @Sprint Pavilion https://www.instagram.com/p/BUkmlY-D57-/";;@Sprint;# #;"868228753654206465";https://twitter.com/realbriangerard/status/868228753654206465
DowntownMall;2017-05-26 15:07;0;0;"Head to Sprint Pavilion today at 5:30p for Fridays After Five with In Full and Velvet People Collective!... http://fb.me/8M1TyEo5O";;;;"868181791374487553";https://twitter.com/DowntownMall/status/868181791374487553
CBS19News;2017-05-26 12:11;0;0;"# CvillePD investigating robbery near Sprint Pavilion on Downtown Mall earlier this week. http://www.newsplex.com/content/news/Police-investigating-robbery-on-the-Downtown-Mall-424616574.html …";;;#;"868137533036797953";https://twitter.com/CBS19News/status/868137533036797953
SamHillBands;2017-05-26 09:56;2;0;"# Cville! Don't mess up and miss @ InFullBand headlining Fridays After Five at the @ SprintPavilion tonight! pic.twitter.com/5yAG1SxFYa";;@ @;#;"868103476907298816";https://twitter.com/SamHillBands/status/868103476907298816
LiveNationVB;2017-05-25 15:00;0;0;"Young the Giant is coming to Sprint Pavilion in Charlottesville on September 19! Get more info here: http://bit.ly/2qgYgZm pic.twitter.com/0sSMGxfovL";;;;"867817599849070592";https://twitter.com/LiveNationVB/status/867817599849070592
SprintPavilion;2017-05-24 15:34;0;0;"Watch @ headandtheheart's great tribute to Chris Cornell, from their recent @ acltv taping. They’ll be here 6/14!http://www.rollingstone.com/music/news/the-head-and-the-heart-recall-early-chris-cornell-encounter-w483958 …";;@ @;;"867463857354223616";https://twitter.com/SprintPavilion/status/867463857354223616
noah__whiting;2017-05-22 23:03;0;0;"I might go to @ youngthegiant at Sprint Pavilion in Charlotte... http://www.bandsintown.com/event/13960831?artist=Young+the+Giant&came_from=15 …";;@;;"866851955439788032";https://twitter.com/noah__whiting/status/866851955439788032
CoquetryTweets;2017-05-20 08:05;0;0;"# Repost @ k_mulaababyy ・・・ DOLLZ @dollzgogo Sprint Pavilion Charlottesville, VA Producer:… https://www.instagram.com/p/BUUELnNhoSn/";;@ @dollzgogo;#;"865901293490937856";https://twitter.com/CoquetryTweets/status/865901293490937856
StarrHill;2017-05-19 11:04;1;2;"Shout out to our buds of the local # Cville music scene! @ CvilleJefferson @ SprintPavilion @ southern_cvillehttp://www.c-ville.com/takin-care-backstage-business-area-music-venues/?mc_cid=6206448a35&mc_eid=db963a117f#.WR8AzyMrIy5 …";;@ @ @;# #;"865583933727133697";https://twitter.com/StarrHill/status/865583933727133697
SprintPavilion;2017-05-19 10:06;2;9;"Tickets on sale NOW for @ Phantogram + Tycho ( @ ISO50) in Charlottesville on July 23! Grab tickets: http://bit.ly/PhantoTychoCville …pic.twitter.com/2UVwX8eMr5";;@ @;;"865569354049617921";https://twitter.com/SprintPavilion/status/865569354049617921
LiveNationVB;2017-05-18 15:00;0;0;"Young the Giant is coming to Sprint Pavilion in Charlottesville on September 19! Get more info here: http://bit.ly/2rvWkbE pic.twitter.com/CMI4GUam3p";;;;"865280879274455040";https://twitter.com/LiveNationVB/status/865280879274455040
spherection;2017-05-16 19:17;0;0;"oregon please!!!!";;;;"864620752858775553";https://twitter.com/spherection/status/864620752858775553
exjamina;2017-05-16 13:55;0;1;"beautifully designed :)";;;;"864539927505186816";https://twitter.com/exjamina/status/864539927505186816
timothysaccenti;2017-05-16 13:39;0;4;". @ ISO50 @ phantogram @ heatheredpearls all of my favorite people";;@ @ @;;"864535719087308803";https://twitter.com/timothysaccenti/status/864535719087308803
Janednorris;2017-05-16 13:31;0;0;"Tickets for July 23 show by Phantogram and Tycho at Sprint Pavilion go on sale Friday (Via Daily Progress) http://www.dailyprogress.com/entertainment/tickets-for-july-show-by-phantogram-and-tycho-at-sprint/article_deac7eaa-3a5a-11e7-bb75-63273c393ed8.html …";;;;"864533760506818562";https://twitter.com/Janednorris/status/864533760506818562
arteepa;2017-05-16 11:47;0;1;"Mexico City, plz";;;;"864507489340899328";https://twitter.com/arteepa/status/864507489340899328
MMA_Architect;2017-05-16 11:40;0;1;"Come to Tulsa, OKC, or Dallas... pleasepic.twitter.com/6TyQHJhcsP";;;;"864505880687116289";https://twitter.com/MMA_Architect/status/864505880687116289
SEA_Meister;2017-05-16 11:31;0;2;"Noticed there is room for a late August break...BM sunrise again?!?!";;;;"864503602966011906";https://twitter.com/SEA_Meister/status/864503602966011906
SprintPavilion;2017-05-16 10:18;4;21;"JUST ANNOUNCED: @ Phantogram & Tycho ( @ ISO50) in Charlottesville on July 23! Tickets on sale this Friday at 10am. http://bit.ly/PhantogramTychoCville …pic.twitter.com/CdSwtuxi15";;@ @;;"864485155485794307";https://twitter.com/SprintPavilion/status/864485155485794307
PubliusPR;2017-05-12 03:57;0;0;"Friday's After 5 charlottesvilleva @Sprint Pavilion https://www.instagram.com/p/BT-b7Grge7o/";;@Sprint;;"862939725522501632";https://twitter.com/PubliusPR/status/862939725522501632
SprintPavilion;2017-05-11 17:41;3;2;"Due to the impending storm tomorrow, Fridays After Five on 5/12 has been cancelled. We hope to have Alligator w/ Marshall Artz another time.";;;;"862784872229871616";https://twitter.com/SprintPavilion/status/862784872229871616
SprintPavilion;2017-05-11 15:25;0;0;"Give this stripped down session from @ headandtheheart a listen before their 6/14 Charlottesville show! http://bit.ly/HeadHeartPavTix https://twitter.com/MountainStage/status/862563928483667968 …";;@;;"862750580518899712";https://twitter.com/SprintPavilion/status/862750580518899712
dannywtm;2017-05-09 12:30;0;0;"I might go to @ joywavemusic at Sprint Pavilion in Charlottesville, V... http://www.bandsintown.com/event/13960831?artist=Joywave&came_from=15 …";;@;;"861981752230895616";https://twitter.com/dannywtm/status/861981752230895616
dannywtm;2017-05-09 12:30;0;0;"I might go to @ ColdWarKids at Sprint Pavilion in Charlottesvil... http://www.bandsintown.com/event/13960831?artist=Cold+War+Kids&came_from=15 …";;@;;"861981725475393536";https://twitter.com/dannywtm/status/861981725475393536
robertwwallace;2017-05-08 06:29;0;0;"I liked a @ YouTube video http://youtu.be/_5_EJ-GvKj8?a  Maxx51 - Charlottesville Sprint Pavilion";;@;;"861528564759482368";https://twitter.com/robertwwallace/status/861528564759482368
Janednorris;2017-05-06 01:42;1;1;"Gillian Welch to perform album in its entirety July 30 at Sprint Pavilion (Via Daily Progress) http://www.dailyprogress.com/entertainment/gillian-welch-to-perform-album-in-its-entirety-july-at/article_49b0a5ac-31ad-11e7-a997-177666943ab6.html …";;;;"860731364672507904";https://twitter.com/Janednorris/status/860731364672507904
KaseyHott;2017-05-05 21:40;0;1;"the three caballeros. :) @Sprint Pavilion https://www.instagram.com/p/BTu5enBj_hV/";;@Sprint;;"860670471494356992";https://twitter.com/KaseyHott/status/860670471494356992
mikoglaces;2017-05-05 19:30;1;2;"Live music at Sprint Pavilion in Charlottesville. Kendall Street Company. pic.twitter.com/M3hBlYnD1s";;;;"860637875641217025";https://twitter.com/mikoglaces/status/860637875641217025
Emarieg;2017-05-05 19:14;1;4;"Kendall Street Company @ CvillePavilion. Have you SEEN these guys?!?!?!!! @Sprint Pavilion https://www.instagram.com/p/BTuoxGMDC3V/";;@ @Sprint;;"860633726480506880";https://twitter.com/Emarieg/status/860633726480506880
LiveNationVB;2017-05-04 18:00;0;0;"@ youngthegiant is bringing their upcoming tour to @ SprintPavilion in Charlottesville on 9/19! Get more info here: http://bit.ly/2pEJCJj pic.twitter.com/u9DiT1Rho2";;@ @;;"860252744871018496";https://twitter.com/LiveNationVB/status/860252744871018496
h_ghost_13;2017-05-04 13:54;0;0;"Sheryl Crow | Sprint Pavilion http://www.sprintpavilion.com/events/detail/sheryl-crow#.WQtq0_dFL3g.twitter …";;;#;"860190912642777089";https://twitter.com/h_ghost_13/status/860190912642777089
SprintPavilion;2017-05-04 12:31;2;1;"JUST ANNOUNCED: @ gillianwelch - Harrow and The Harvest Tour on July 30! Tickets on sale next Friday, 5/12. http://bit.ly/GillianWelch730 pic.twitter.com/dWOs37whSr";;@;;"860169925993910272";https://twitter.com/SprintPavilion/status/860169925993910272
ItalianSerieA;2017-05-03 18:26;0;0;"New post: CONCERTS: Punch Brothers & I'm With Her Tickets, 2017-08-08 07:00:00.0, Sprint Pavilion, Virginia, United http://www.italiansoccerseriea.com/event-tickets/concerts-punch-brothers-m-with-her-tickets-2017-08-08-070000-0-sprint-pavilion-virginia-united-states-of-america/ …";;;;"859896897112129536";https://twitter.com/ItalianSerieA/status/859896897112129536
SprintPavilion;2017-05-03 12:49;3;14;"ADDED AS SUPPORT for @ headandtheheart on June 14: @ NataliePrass! Grab tickets: http://bit.ly/HeadHeartPavTix pic.twitter.com/VK115a1VJ8";;@ @;;"859812168182767616";https://twitter.com/SprintPavilion/status/859812168182767616
ItalianSerieA;2017-05-02 21:40;0;0;"New post: CONCERTS: Spoon & The New Pornographers Tickets, 2017-07-19 07:00:00.0, Sprint Pavilion, Virginia, United http://www.italiansoccerseriea.com/event-tickets/concerts-spoon-the-new-pornographers-tickets-2017-07-19-070000-0-sprint-pavilion-virginia-united-states-of-america/ …";;;;"859583487212306432";https://twitter.com/ItalianSerieA/status/859583487212306432
SprintPavilion;2017-05-02 10:19;0;0;"See @ headandtheheart here on June 14! Tickets: http://bit.ly/HeadHeartPavTix https://twitter.com/headandtheheart/status/859076937045639168 …";;@;;"859412047628554240";https://twitter.com/SprintPavilion/status/859412047628554240
roryfitz15;2017-05-02 08:01;0;0;"You'd be doing well to find a better Group 3 sprint than the Pavilion stakes at @ Ascot tomorrow. Full of improving 3yo's. # Bluepoint";;@;#;"859377323996565505";https://twitter.com/roryfitz15/status/859377323996565505
OscarCarvajalJr;2017-04-29 13:16;1;0;"# sprintsalesbloom going on at Pavilion. Switch to Sprint and save $$$ @SprintCentralTX pic.twitter.com/niYJ0dmPsa";;@SprintCentralTX;#;"858369527247237120";https://twitter.com/OscarCarvajalJr/status/858369527247237120
PuddleJones;2017-04-28 23:31;0;0;"Sprint Pavilion Charlottesville, VA Pier Six Pavilion Baltimore Md. both are close, but miss the bulls eye by three beers Can't have that. https://twitter.com/PuddleJones/status/858159785488896000 …";;;;"858161803037224960";https://twitter.com/PuddleJones/status/858161803037224960
realbriangerard;2017-04-28 20:51;0;0;"What? Pretty cool though. @ thekairoseffect @Sprint Pavilion https://www.instagram.com/p/BTcyXjtD_8G/";;@ @Sprint;;"858121615573438464";https://twitter.com/realbriangerard/status/858121615573438464
loosemeatsndwch;2017-04-28 20:49;0;0;"Ween Live at Sprint Pavilion on 2017-04-20 : Free Download & Streaming : Internet Archive https://archive.org/details/ween2017-04-20.mk4.flac16 … via @ internetarchive";;@;;"858120954337210368";https://twitter.com/loosemeatsndwch/status/858120954337210368
jbowes72;2017-04-28 18:59;0;0;"My beautiful wife out at our first C'ville social!! # cvillefood # cville @Sprint Pavilion https://www.instagram.com/p/BTclfITA667/";;@Sprint;# #;"858093234068869120";https://twitter.com/jbowes72/status/858093234068869120
SethBatton;2017-04-28 18:56;0;0;"attending Fridays After Five - The Barons at Sprint Pavilion http://fb.me/8pqXAf9Yw";;;;"858092543996829696";https://twitter.com/SethBatton/status/858092543996829696
WCNRTheCorner;2017-04-28 12:20;2;2;"See @ TheBaronsMusic @ sprintpavilion tonight # FridaysAfter5 & @ southern_cville soon too! Here's their # CornerLounge!https://shar.es/1F5wzR";;@ @ @;# #;"857993042757902336";https://twitter.com/WCNRTheCorner/status/857993042757902336
LiveNationVB;2017-04-27 15:00;0;0;"@ youngthegiant is bringing their upcoming tour to @ SprintPavilion in Charlottesville on 9/19! Get more info here: http://bit.ly/2qbj0xW pic.twitter.com/Whp5HsyYBF";;@ @;;"857670751503175680";https://twitter.com/LiveNationVB/status/857670751503175680
ames345;2017-04-27 00:31;0;0;"I'm going to @ joywavemusic at Sprint Pavilion in Charlottesville, VA... http://www.bandsintown.com/event/13960831?artist=Joywave&came_from=15 …";;@;;"857452046345175041";https://twitter.com/ames345/status/857452046345175041
WCNRTheCorner;2017-04-25 21:17;0;0;"jasonisbell t the @ CvillePavilion @Sprint Pavilion https://www.instagram.com/p/BTVG_M9DrHa/";;@ @Sprint;;"857041005056577536";https://twitter.com/WCNRTheCorner/status/857041005056577536
doctor_gf;2017-04-25 20:24;0;1;"Jason Isbell @Sprint Pavilion https://www.instagram.com/p/BTVA1b_BlO0/";;@Sprint;;"857027476106526720";https://twitter.com/doctor_gf/status/857027476106526720
keri_wilfong;2017-04-25 20:15;0;0;"Date Night @Sprint Pavilion https://www.instagram.com/p/BTU_y1lB9ZMKaN0Xa-LPLxjSmGfnwEu4wGJxj80/ …";;@Sprint;;"857025242123837440";https://twitter.com/keri_wilfong/status/857025242123837440
ASC_Amy;2017-04-25 19:46;0;2;"Turnpike Troubadours. Oklahoma, represent! # music # wnrn # oklahoma @Sprint Pavilion https://www.instagram.com/p/BTU8lbdD9wC/";;@Sprint;# # #;"857018129507123201";https://twitter.com/ASC_Amy/status/857018129507123201
flynch10;2017-04-25 17:49;0;1;"I'm at Sprint Pavilion - @ cvillepavilion in Charlottesville, VAhttps://www.swarmapp.com/c/bXD4DJSZTtg";;@;;"856988578525696000";https://twitter.com/flynch10/status/856988578525696000
SprintPavilion;2017-04-25 14:58;5;36;"Don’t let a little rain scare you away from @ JasonIsbell! Gates at 6pm & @ TpTroubadours at 7pm. Tickets: http://bit.ly/JasonIsbellCville …https://twitter.com/JasonIsbell/status/856932332519006212 …";;@ @;;"856945484803579904";https://twitter.com/SprintPavilion/status/856945484803579904
TracyYancey;2017-04-25 08:32;0;0;"Cheryl Crowe concert at Main Street, Sprint Pavilion, June 20. http://fb.me/6zIp5Jxg3";;;;"856848366101082112";https://twitter.com/TracyYancey/status/856848366101082112
paqman13;2017-04-24 18:41;0;0;"Ask @ sprint to send my wife's phone. If it happens to be at the pavilion.";;@;;"856639223260172289";https://twitter.com/paqman13/status/856639223260172289
JasonIsbell;2017-04-24 14:34;10;101;"We'll be rocking the Sprint pavilion tomorrow night in # Charlottesville. Do come.";;;#;"856577094788186114";https://twitter.com/JasonIsbell/status/856577094788186114
