username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
lmschrader;2017-03-23 17:49;0;1;"Really looking forward to # cville event on Voices of Adult Learners @Jefferson School. Great energy as the room fills up! # VABook2017 pic.twitter.com/kMaMTMOHXi";;@Jefferson;# #;"845029733666574339";https://twitter.com/lmschrader/status/845029733666574339
wnordt;2017-03-20 15:08;0;0;"@ judahandthelion at the Jefferson in cville on 10/16 this fall!";;@;;"843902021673672704";https://twitter.com/wnordt/status/843902021673672704
CommEmerg;2017-03-20 09:43;4;1;"# albemarle # cville Please be advised Rt 53, Thomas Jefferson parkway is currently completely shut down in the 1500 block for a Crash. 84MB";;;# #;"843820333463457794";https://twitter.com/CommEmerg/status/843820333463457794
SURJ_Cville;2017-03-03 16:42;0;1;"At 5 PM, join us @ uva chapel to march in celebration to the Jefferson Center";;@;;"837780141136883712";https://twitter.com/SURJ_Cville/status/837780141136883712
lemasney;2017-03-01 10:54;0;0;"Analytics, or the art of discovering your audience. FREE. March 1st from 6-7pm at Jefferson Madison Regional Library in downtown Cville.";;;;"836967801424396288";https://twitter.com/lemasney/status/836967801424396288
JamBandPurist;2017-02-16 15:13;1;1;"Tonight in Charlottesville Virginia at The Jefferson @ ZosoOnTour. Looking forward to some zep in my life. # ledzeppelin # zoso # cville # jam";;@;# # # #;"832321942980026368";https://twitter.com/JamBandPurist/status/832321942980026368
deansfam4;2017-02-10 22:52;1;3;"Just bought tickets to the Jefferson in Cville. Saw y'all there almost 2 years ago and y'all were soooo great!";;;;"830263170518364160";https://twitter.com/deansfam4/status/830263170518364160
chuckmoran;2017-01-31 14:50;0;0;"Khizr Khan speaks as Mayor @ MikeSigner declares # Charlottesville (home of Thos Jefferson) a “capital of the resistance.” # cville @ MSignorilehttps://twitter.com/noraneus/status/826482908449927171 …";;@ @;# #;"826517929126662144";https://twitter.com/chuckmoran/status/826517929126662144
SURJ_Cville;2017-01-28 18:38;0;0;"@ UVA It is high time, as a representative of Jefferson, to take the high road in regards to immigration. http://www.politicususa.com/2017/01/28/university-michigan-defies-trump-refusing-release-immigration-status-students.html …";;@;;"825488135706517504";https://twitter.com/SURJ_Cville/status/825488135706517504
cville_abe;2017-01-26 13:42;0;0;"2768 THOMAS JEFFERSON PKWY Brush Fire PLEASE USE CAUTION IF YOU ARE IN THE AREA";;;;"824688869761314818";https://twitter.com/cville_abe/status/824688869761314818
MANdrew999;2017-01-22 14:39;0;1;"his wife is on the Jefferson Trust Fund and they had a meeting this weekend in CVille";;;;"823253675279872002";https://twitter.com/MANdrew999/status/823253675279872002
HPREcville;2017-01-15 23:07;0;0;"We have established the fact that it is # ideal out # showingproperties in # Cville @Jefferson… https://www.instagram.com/p/BPT62h7DLBL/";;@Jefferson;# # #;"820844778279632896";https://twitter.com/HPREcville/status/820844778279632896
BarlowBrewing;2017-01-14 16:18;0;3;"Lee's book about the # Cville beer is out. Brewing history from Jefferson to modern breweries w/ a mention of the local # homebrew club & mepic.twitter.com/HtOJQThFm1";;;# #;"820379705501224960";https://twitter.com/BarlowBrewing/status/820379705501224960
