date,temperature,precipm
"5:53 PM EST on January 12, 2017",18.3,-9999.00
"6:53 PM EST on January 12, 2017",17.2,-9999.00
"7:53 PM EST on January 12, 2017",17.2,-9999.00
"8:53 PM EST on January 12, 2017",17.2,-9999.00
"9:53 PM EST on January 12, 2017",16.7,-9999.00
"10:53 PM EST on January 12, 2017",16.1,-9999.00
"11:53 PM EST on January 12, 2017",16.1,-9999.00
"12:53 AM EST on January 13, 2017",14.4,-9999.00
"1:53 AM EST on January 13, 2017",15.6,-9999.00
"2:53 AM EST on January 13, 2017",14.4,-9999.00
"3:53 AM EST on January 13, 2017",13.3,-9999.00
"4:53 AM EST on January 13, 2017",11.7,-9999.00
"5:53 AM EST on January 13, 2017",11.7,-9999.00
"6:53 AM EST on January 13, 2017",12.8,-9999.00
"7:53 AM EST on January 13, 2017",13.3,-9999.00
"8:53 AM EST on January 13, 2017",13.9,-9999.00
"9:53 AM EST on January 13, 2017",15.0,-9999.00
"10:53 AM EST on January 13, 2017",13.9,0.0
"11:53 AM EST on January 13, 2017",14.4,0.0
"12:53 PM EST on January 13, 2017",15.0,0.0
"1:53 PM EST on January 13, 2017",15.0,-9999.00
"2:53 PM EST on January 13, 2017",14.4,-9999.00
"3:53 PM EST on January 13, 2017",13.3,-9999.00
"4:53 PM EST on January 13, 2017",12.2,-9999.00
"5:53 PM EST on January 13, 2017",11.1,-9999.00
"6:53 PM EST on January 13, 2017",10.6,-9999.00
"7:53 PM EST on January 13, 2017",10.0,-9999.00
"8:53 PM EST on January 13, 2017",9.4,-9999.00
"9:53 PM EST on January 13, 2017",8.3,0.0
"10:53 PM EST on January 13, 2017",7.2,0.0
"11:53 PM EST on January 13, 2017",5.0,0.3
"12:53 AM EST on January 14, 2017",3.9,0.0
"1:53 AM EST on January 14, 2017",3.3,0.3
"2:53 AM EST on January 14, 2017",3.3,0.3
"3:53 AM EST on January 14, 2017",3.3,0.0
"4:53 AM EST on January 14, 2017",3.3,0.0
"5:53 AM EST on January 14, 2017",2.8,0.3
"6:31 AM EST on January 14, 2017",2.2,0.5
"6:53 AM EST on January 14, 2017",2.2,1.5
"7:45 AM EST on January 14, 2017",2.2,0.3
"7:53 AM EST on January 14, 2017",2.2,0.3
"8:10 AM EST on January 14, 2017",2.2,0.3
"8:25 AM EST on January 14, 2017",2.2,0.5
"8:53 AM EST on January 14, 2017",2.2,1.3
"9:31 AM EST on January 14, 2017",2.2,0.0
"9:53 AM EST on January 14, 2017",2.2,0.0
"10:53 AM EST on January 14, 2017",3.3,0.3
"11:06 AM EST on January 14, 2017",3.3,-9999.00
"11:15 AM EST on January 14, 2017",3.3,-9999.00
"11:24 AM EST on January 14, 2017",3.9,-9999.00
"11:35 AM EST on January 14, 2017",3.9,-9999.00
"11:53 AM EST on January 14, 2017",3.9,-9999.00
"12:51 PM EST on January 14, 2017",4.0,-9999.00
"12:53 PM EST on January 14, 2017",4.4,-9999.00
"1:53 PM EST on January 14, 2017",4.4,-9999.00
"2:53 PM EST on January 14, 2017",5.6,-9999.00
"3:40 PM EST on January 14, 2017",5.6,-9999.00
"3:53 PM EST on January 14, 2017",5.6,-9999.00
"4:53 PM EST on January 14, 2017",5.6,-9999.00
"5:30 PM EST on January 14, 2017",5.6,0.0
"5:37 PM EST on January 14, 2017",5.6,0.0
"5:53 PM EST on January 14, 2017",5.0,0.0
"6:15 PM EST on January 14, 2017",5.0,0.0
"6:53 PM EST on January 14, 2017",4.4,0.0
"7:53 PM EST on January 14, 2017",4.4,-9999.00
"8:21 PM EST on January 14, 2017",4.4,-9999.00
"8:53 PM EST on January 14, 2017",4.4,0.0
"9:53 PM EST on January 14, 2017",4.4,0.0
"10:47 PM EST on January 14, 2017",3.0,-9999.00
"10:53 PM EST on January 14, 2017",3.3,-9999.00
"11:03 PM EST on January 14, 2017",3.3,-9999.00
"11:22 PM EST on January 14, 2017",3.3,-9999.00
"11:29 PM EST on January 14, 2017",3.3,-9999.00
"11:43 PM EST on January 14, 2017",3.3,-9999.00
"11:46 PM EST on January 14, 2017",3.3,-9999.00
"11:53 PM EST on January 14, 2017",3.3,-9999.00
"12:18 AM EST on January 15, 2017",2.8,-9999.00
"12:33 AM EST on January 15, 2017",3.3,-9999.00
"12:41 AM EST on January 15, 2017",3.3,-9999.00
"12:53 AM EST on January 15, 2017",3.3,-9999.00
"1:08 AM EST on January 15, 2017",3.3,-9999.00
"1:17 AM EST on January 15, 2017",3.9,-9999.00
"1:53 AM EST on January 15, 2017",3.9,-9999.00
"2:01 AM EST on January 15, 2017",3.9,-9999.00
"2:21 AM EST on January 15, 2017",3.9,-9999.00
"2:26 AM EST on January 15, 2017",3.9,-9999.00
"2:34 AM EST on January 15, 2017",3.9,-9999.00
"2:42 AM EST on January 15, 2017",3.9,-9999.00
"2:53 AM EST on January 15, 2017",3.9,-9999.00
"3:00 AM EST on January 15, 2017",3.9,-9999.00
"3:28 AM EST on January 15, 2017",3.9,-9999.00
"3:44 AM EST on January 15, 2017",3.9,-9999.00
"3:53 AM EST on January 15, 2017",3.9,-9999.00
"4:53 AM EST on January 15, 2017",3.9,-9999.00
"5:53 AM EST on January 15, 2017",3.9,-9999.00
"6:53 AM EST on January 15, 2017",3.9,-9999.00
"7:53 AM EST on January 15, 2017",3.9,-9999.00
"8:53 AM EST on January 15, 2017",4.4,-9999.00
"9:40 AM EST on January 15, 2017",5.0,-9999.00
"9:53 AM EST on January 15, 2017",5.0,-9999.00
"10:53 AM EST on January 15, 2017",5.0,-9999.00
"11:53 AM EST on January 15, 2017",5.6,-9999.00
"12:53 PM EST on January 15, 2017",6.1,-9999.00
"1:53 PM EST on January 15, 2017",6.7,-9999.00
"2:53 PM EST on January 15, 2017",6.7,-9999.00
"3:53 PM EST on January 15, 2017",6.7,-9999.00
"4:53 PM EST on January 15, 2017",6.1,-9999.00
"5:01 PM EST on January 15, 2017",6.1,-9999.00
"5:53 PM EST on January 15, 2017",6.1,-9999.00
"6:15 PM EST on January 15, 2017",6.1,-9999.00
"6:53 PM EST on January 15, 2017",6.1,-9999.00
"7:53 PM EST on January 15, 2017",5.6,-9999.00
"8:25 PM EST on January 15, 2017",5.6,-9999.00
"8:53 PM EST on January 15, 2017",6.1,-9999.00
"9:53 PM EST on January 15, 2017",5.6,-9999.00
"10:53 PM EST on January 15, 2017",5.6,0.5
"11:38 PM EST on January 15, 2017",5.6,0.0
"11:53 PM EST on January 15, 2017",5.6,0.0
"12:18 AM EST on January 16, 2017",5.6,0.3
"12:32 AM EST on January 16, 2017",5.6,0.3
"12:48 AM EST on January 16, 2017",6.0,0.3
"12:49 AM EST on January 16, 2017",5.6,0.3
"1:16 AM EST on January 16, 2017",5.6,0.0
"1:21 AM EST on January 16, 2017",5.6,0.0
"1:43 AM EST on January 16, 2017",5.6,0.0
"1:53 AM EST on January 16, 2017",5.6,0.0
"2:32 AM EST on January 16, 2017",5.0,0.3
"2:53 AM EST on January 16, 2017",5.0,0.5
"3:53 AM EST on January 16, 2017",3.9,0.3
"4:53 AM EST on January 16, 2017",3.9,0.0
