,RecordID,TicketNumber,DateIssued,StreetName,TimeIssued,StreetNumber,LicenseState,WaiverRequestDate,WaiverGrantedDate,AppealDate,AppealGrantedDate,ViolationDescription,AppealStatus,Location,LicensePlateAnon,Coords
362432,362433,87298212,2017-03-15T00:00:00.000Z,KING ST,16:01,918,VA,,,,,15ft of Fire Hydrant,n/a,918 KING ST,115950,"(38.02926485, -78.4964222525105)"
351064,351065,86393426,2017-03-15T00:00:00.000Z,WERTLAND ST,09:15,1100,MD,,,,,Curb Painted Yellow,n/a,1100 WERTLAND ST,11546,"(38.03406475, -78.4957514871532)"
362186,362187,87263115,2017-03-15T00:00:00.000Z,VIRGINIA AVE,02:51,1503,NY,,,03/22/2017,03/24/2017,Parking 20ft of Intersection,denied,1503 VIRGINIA AVE,21273,"(38.0382412902996, -78.498692261411)"
362188,362189,87263324,2017-03-15T00:00:00.000Z,JOHN ST,03:00,1221,VA,,,,,Obstructing Traffic ,n/a,1221 JOHN ST,144828,"(38.03684, -78.496475)"
362190,362191,87263505,2017-03-15T00:00:00.000Z,HARMON ST,03:50,117,MD,,,,,LT Side to Curb,n/a,117 HARMON ST,11744,"(38.02801345, -78.5132650554999)"
362191,362192,87263625,2017-03-15T00:00:00.000Z,WASHINGTON AVE,03:55,105,KY,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,105 WASHINGTON AVE,8424,"(38.0271907, -78.5129251986453)"
364543,364544,87891722,2017-03-15T00:00:00.000Z,E MAIN ST,15:33,401,VA,,,03/17/2017,03/17/2017,Handicapped Space,denied,401 E MAIN ST,31446,"(38.0301601, -78.4791097)"
364433,364434,87845124,2017-03-16T00:00:00.000Z,11TH ST NW,13:48,363,VA,,,,,Obstructing Traffic ,n/a,363 11TH ST NW,127647,"(38.037997, -78.494135)"
354610,354611,86631812,2017-03-16T00:00:00.000Z,6TH ST SE,08:45,700,VA,,,,,15ft of Fire Hydrant,n/a,700 6TH ST SE,107089,"(38.024994, -78.480673)"
355116,356117,86732713,2017-03-17T00:00:00.000Z,JEFFERSON PARK AVE,07:17,1708,VA,,,,,Blocking Drive ,n/a,1708 JEFFERSON PARK AVE,32478,"(38.0299899, -78.5084722305066)"
364634,364635,87940218,2017-03-18T00:00:00.000Z,UNIVERSITY CIR,15:00,1841,VA,,,,,No Parking any time,n/a,1841 UNIVERSITY CIR,177446,"(38.0417002437306, -78.5020477410607)"
364544,364545,87892025,2017-03-18T00:00:00.000Z,E MAIN ST,13:24,322,VA,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,322 E MAIN ST,107681,"(38.0299982, -78.4793867)"
355118,356119,86732824,2017-03-19T00:00:00.000Z,NORTHWOOD AVE,06:53,600,VA,,,,,Obstructing Traffic ,n/a,600 NORTHWOOD AVE,110084,"(38.035985, -78.478067)"
16312,17313,00200790,2017-03-20T14:12:43.000Z,2ND ST SE,14:12,0,VA,,,,,No Parking any time,n/a,0 2ND ST SE,110406,"(38.0278052, -78.4820162)"
