,RecordID,TicketNumber,DateIssued,StreetName,TimeIssued,StreetNumber,LicenseState,WaiverRequestDate,WaiverGrantedDate,AppealDate,AppealGrantedDate,ViolationDescription,AppealStatus,Location,LicensePlateAnon,Coords,DistMetric
364571,364572,87910113,2017-10-20T00:00:00.000Z,STADIUM RD,10:15,1914,VA,,,,,Blocking Drive ,n/a,1914 STADIUM RD,109379,"(38.02872255, -78.5139739909213)",13.820369341431709
363993,363994,87642907,2017-10-20T00:00:00.000Z,WEST ST,00:00,300,VA,,,,,Loading Zone,n/a,300 WEST ST,62235,"(39.7874368039224, -85.6133729402459)",22477.58899475169
26597,27598,00211642,2017-10-20T09:50:03.000Z,MONTEBELLO CIR,09:50,100,VA,,,,,Permit Zone w/o Permit,n/a,100 MONTEBELLO CIR,44771,"(38.031031, -78.510663)",7.322453690902836
359477,359478,86993413,2017-10-21T00:00:00.000Z,DUNOVA CT,09:53,108,VA,,,,,Blocking Drive ,n/a,108 DUNOVA CT,108655,"(38.0295332, -78.5116541436256)",10.576026415823499
363366,363367,87518718,2017-10-21T00:00:00.000Z,GRADY AVE,18:40,1509,VA,,,,,No Parking any time,n/a,1509 GRADY AVE,106669,"(38.0386862, -78.4909481)",2.193114954511682
363365,363366,87518618,2017-10-21T00:00:00.000Z,VALLEY RD,18:25,505,VA,,,,,No Parking any time,n/a,505 VALLEY RD,91131,"(38.03061825, -78.5056212370852)",5.522609855996735
26741,27742,00211797,2017-10-24T12:28:48.000Z,E MAIN ST,12:29,500,VA,,,,,Void,n/a,500 E MAIN ST,98673,"(38.029706, -78.478355)",0.025
26854,27855,00211912,2017-10-25T15:21:02.000Z,ROSE HILL DR,15:21,1100,NC,,,,,LT Side to Curb,n/a,1100 ROSE HILL DR,16493,"(38.041914, -78.483925)",9.755823370818174
363733,363734,87574425,2017-10-26T00:00:00.000Z,CEDARS CT,14:50,1233,AL,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,1233 CEDARS CT,402,"(38.0563363495918, -78.5009474414166)",34.223605493967376
26883,27884,00211940,2017-10-26T10:47:41.000Z,FAUQUIER RD,10:47,0,VA,,,,,Permit Zone w/o Permit,n/a,0 FAUQUIER RD,110658,"(38.037266, -78.511031)",0.7413877898225621
362718,362719,87394124,2017-10-27T00:00:00.000Z,LONG ST,20:29,500,VA,,,,,Obstructing Traffic ,n/a,500 LONG ST,94554,"(38.037099, -78.464129)",12.659051137282093
26979,27980,00212038,2017-10-27T12:23:57.000Z,ROBERTSON AVE,12:23,400,VA,,,,,LT Side to Curb,n/a,400 ROBERTSON AVE,109482,"(38.0242966, -78.5109644376057)",22.70849150175081
26983,27984,00212042,2017-10-27T12:42:53.000Z,RAYMOND AVE,12:42,100,VA,,,,,LT Side to Curb,n/a,100 RAYMOND AVE,114100,"(38.02335, -78.514642)",29.1730625353262
350014,350015,86301118,2017-10-28T00:00:00.000Z,E MARKET ST,23:36,1219,VA,,,11/02/2017,11/03/2017,No Parking any time,denied,1219 E MARKET ST,39139,"(38.0317403, -78.4819014)",0.06180187241903019
27059,28060,00212123,2017-10-30T09:22:35.000Z,PALATINE AVE,09:22,200,MA,,,,,LT Side to Curb,n/a,200 PALATINE AVE,9453,"(38.0156568, -78.4810645)",20.44204825524797
27069,28070,00212133,2017-10-30T09:48:24.000Z,MONTPELIER ST,09:48,100,MA,,,,,Permit Zone w/o Permit,n/a,100 MONTPELIER ST,9650,"(38.025799, -78.517939)",24.769939044694006
27180,28181,00212246,2017-10-31T10:05:08.000Z,E HIGH ST,10:05,200,VA,,,,,Blocking Drive ,n/a,200 E HIGH ST,52069,"(38.033224, -78.483328)",0.3136397763467856
27359,28360,00212423,2017-11-02T13:10:31.000Z,LEWIS ST,13:10,100,VA,,,,,Parking 20ft of Intersection,n/a,100 LEWIS ST,129058,"(38.0257447662657, -78.5163559674001)",23.449269787130007
27381,28382,00212446,2017-11-02T13:50:13.000Z,JONES ST,13:51,400,VA,,,,,No Parking any time,n/a,400 JONES ST,96192,"(38.02875765, -78.4987688938259)",5.098922560341061
364581,364582,87915622,2017-11-03T00:00:00.000Z,2ND ST NE,08:25,110,VA,,,11/03/2017,11/08/2017,Handicapped Space,denied,110 2ND ST NE,31398,"(38.0309393, -78.4805057)",0.025
27427,28428,00212502,2017-11-03T15:12:29.000Z,MELBOURNE RD,15:12,0,VA,,,,,LT Side to Curb,n/a,0 MELBOURNE RD,103706,"(38.051713, -78.472317)",51.613480072460554
364370,364371,87810213,2017-11-04T00:00:00.000Z,JEFFERSON PARK AVE,11:58,2422,VA,,,12/05/2017,12/13/2017,Blocking Drive ,granted,2422 JEFFERSON PARK AVE,111031,"(38.02180515, -78.5141324157657)",33.85455947739262
